67048711,7,Spell,Continuous,,,,,,,"When there are 3 face-up 7"" cards on your side of the field, draw 3 cards from your Deck. Then destroy all ""7"" cards. When this card is sent directly from the field to your Graveyard, increase your Life Points by 700 points."""
86988864,3-Hump Lacooda,Monster,Effect,Earth,Beast,,3,500,1500,"If there are 3 face-up 3-Hump Lacooda"" cards on your side of the field, Tribute 2 of them to draw 3 cards."""
83994646,4-Starred Ladybug of Doom,Monster,Effect,Wind,Insect,Flip,3,800,1200,Flip: Destroy all face-up Level 4 monsters on your opponent's side of the field.
23771716,7 Colored Fish,Monster,Normal,Water,Fish,,4,1800,800,A rare rainbow fish that has never been caught by mortal man
86198326,7 Completed,Spell,Equip,,,,,,,A Machine-Type monster equipped with this card increases either its Attack or Defense by 700 points. You cannot change your choice as long as this card remains face-up on the Field.
14261867,8-Claws Scorpion,Monster,Effect,Dark,Insect,,2,300,200,"Once per turn, you can flip this card into face-down Defense Position. When this card attacks an opponent's face-down Defense Position monster, this card's ATK becomes 2400 during damage calculation only."
24140059,A Cat of Ill Omen,Monster,Effect,Dark,Beast,Flip,2,500,300,"FLIP: Select 1 Trap Card from your Deck and place it on top of your Deck. If ""Necrovalley"" is on the field, you can add the selected Trap Card to your hand instead."
6850209,A Deal with Dark Ruler,Spell,Quick-Play,,,,,,,"(This card is always treated as an ""Archfiend"" card.)
If a Level 8 or higher monster under your control was sent to the Graveyard this turn; Special Summon 1 ""Berserk Dragon"" from your hand or Deck."
49140998,A Feather of the Phoenix,Spell,Normal,,,,,,,"Discard 1 card, then target 1 card in your Graveyard; return that target to the top of your Deck."
68170903,A Feint Plan,Trap,Normal,,,,,,,A player cannot attack face-down monsters during this turn.
21597117,A Hero Emerges,Trap,Normal,,,,,,,"When an opponent's monster declares an attack: Your opponent chooses 1 random card from your hand, then if it is a monster that can be Special Summoned, Special Summon it. Otherwise, send it to the Graveyard."
295517,A Legendary Ocean,Spell,Field,,,,,,,"This card's name is treated as ""Umi"". Downgrade all WATER monsters in both player's hands and on the field by 1 Level. Increases the ATK and DEF of all WATER monsters by 200 points."
